region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1 - Non-Parliamentary Opposition,2 - Armed Veterans Patriots,3 - United Opposition,5 - United National Movement,6 - Greens Party,8 - Alliance of Patriots,9 - Self-governance to People,11 - Reformers,13 - Future Georgia,14 - Georgian Party,16 - Christian Democrats,17 - Unity Hall,18 - Way of Georgia,20 - Labour Party,26 - Party of People,30 - Merab Kostava Society,41 - Georgian Dream
,17,,16,,1039,1,180,425,671,1000,30,,,,,,,,11,,120,223,,,,,,,,,,,,,286
,17,,17,,1379,0,146,391,594,1300,28,,,,,,,,21,,153,141,,,,,,,,,,,,,248
,17,,18,,1050,4,98,252,409,1000,21,,,,,,,,7,,50,119,,,,,,,,,,,,,211
,17,,19,,291,1,95,179,211,300,6,,,,,,,,0,,48,11,,,,,,,,,,,,,146
,17,,20,,812,4,128,269,397,750,14,,,,,,,,9,,62,97,,,,,,,,,,,,,215
,17,,21,,839,7,97,264,409,800,28,,,,,,,,1,,138,136,,,,,,,,,,,,,105
,17,,22,,449,5,79,125,198,450,2,,,,,,,,2,,123,36,,,,,,,,,,,,,34
,17,,23,,1001,4,157,370,564,950,36,,,,,,,,13,,190,64,,,,,,,,,,,,,261
,17,,24,,906,4,90,216,312,800,7,,,,,,,,14,,62,61,,,,,,,,,,,,,167
,17,,25,,1189,9,80,203,303,1100,13,,,,,,,,9,,43,81,,,,,,,,,,,,,157
,17,,26,,861,10,124,290,371,750,24,,,,,,,,11,,119,60,,,,,,,,,,,,,157
,17,,27,,619,0,156,251,330,500,35,,,,,,,,7,,70,50,,,,,,,,,,,,,168
,17,,28,,1161,2,152,362,532,1050,40,,,,,,,,8,,83,186,,,,,,,,,,,,,216
,17,,29,,730,2,157,340,441,650,18,,,,,,,,5,,134,77,,,,,,,,,,,,,207
,17,,30,,859,2,175,402,529,800,28,,,,,,,,10,,167,94,,,,,,,,,,,,,230
,17,,31,,107,9,36,50,56,100,4,,,,,,,,0,,7,3,,,,,,,,,,,,,42
,17,,32,,1525,1,189,518,706,1450,48,,,,,,,,9,,86,245,,,,,,,,,,,,,309
,17,,33,,497,3,82,144,182,500,6,,,,,,,,4,,18,80,,,,,,,,,,,,,74
,17,,34,,111,5,29,45,50,150,1,,,,,,,,0,,3,13,,,,,,,,,,,,,33
,17,,35,,1210,4,177,457,667,1150,30,,,,,,,,4,,171,106,,,,,,,,,,,,,338
,17,,36,,986,0,170,392,587,950,47,,,,,,,,11,,49,191,,,,,,,,,,,,,289
,17,,37,,1358,6,127,292,419,1200,28,,,,,,,,2,,29,87,,,,,,,,,,,,,273
