"shape","common_id","common_name","Total Voter Turnout (#)","Total Voter Turnout (%)","Number of Precincts with Invalid Ballots from 0-1%","Number of Precincts with Invalid Ballots from 1-3%","Number of Precincts with Invalid Ballots from 3-5%","Number of Precincts with Invalid Ballots > 5%","Invalid Ballots (%)","Precincts with More Ballots Than Votes (#)","Precincts with More Ballots Than Votes (%)","More Ballots Than Votes (Average)","More Ballots Than Votes (#)","Precincts with More Votes than Ballots (#)","Precincts with More Votes than Ballots (%)","More Votes than Ballots (Average)","More Votes than Ballots (#)","Average votes per minute (08:00-12:00)","Average votes per minute (12:00-17:00)","Average votes per minute (17:00-20:00)","Number of Precincts with votes per minute > 2 (08:00-12:00)","Number of Precincts with votes per minute > 2 (12:00-17:00)","Number of Precincts with votes per minute > 2 (17:00-20:00)","Number of Precincts with votes per minute > 2","Precincts Reported (#)","Precincts Reported (%)","United Opposition","United National Movement","Greens Party","Alliance of Patriots","Georgian Party","Way of Georgia","Georgian Dream"
"Precinct","36","17-36","477","48.3283",\N,\N,\N,\N,"3.0488",\N,\N,\N,"0",\N,\N,\N,"0","0.5875","0.5300","1.0667",\N,\N,\N,\N,\N,\N,"0.0000","28.9308","0.0000","0.0000","0.0000","0.0000","71.0692"
"Precinct","37","17-37","382","28.1503",\N,\N,\N,\N,"2.3018",\N,\N,\N,"0",\N,\N,\N,"0","0.6667","0.4000","0.6167",\N,\N,\N,\N,\N,\N,"0.0000","20.1571","0.0000","0.0000","0.0000","0.0000","79.8429"
"Precinct","38","17-38","308","22.2222",\N,\N,\N,\N,"3.1447",\N,\N,\N,"0",\N,\N,\N,"0","0.4833","0.4200","0.4222",\N,\N,\N,\N,\N,\N,"0.0000","25.6494","0.0000","0.0000","0.0000","0.0000","74.3506"
"Precinct","39","17-39","325","21.7828",\N,\N,\N,\N,"9.4708",\N,\N,\N,"0",\N,\N,\N,"0","0.6500","0.3367","0.5667",\N,\N,\N,\N,\N,\N,"0.0000","36.9231","0.0000","0.0000","0.0000","0.0000","63.0769"
"Precinct","40","17-40","405","32.9536",\N,\N,\N,\N,"3.3413",\N,\N,\N,"0",\N,\N,\N,"0","0.5208","0.5433","0.7278",\N,\N,\N,\N,\N,\N,"0.0000","33.3333","0.0000","0.0000","0.0000","0.0000","66.6667"
"Precinct","41","17-41","456","42.5373",\N,\N,\N,\N,"1.7241",\N,\N,\N,"0",\N,\N,\N,"0","0.6417","0.6500","0.6389",\N,\N,\N,\N,\N,\N,"0.0000","26.5351","0.0000","0.0000","0.0000","0.0000","73.4649"
"Precinct","42","17-42","610","39.8693",\N,\N,\N,\N,"1.7713",\N,\N,\N,"0",\N,\N,\N,"0","0.8417","0.9233","0.7889",\N,\N,\N,\N,\N,\N,"0.0000","25.0820","0.0000","0.0000","0.0000","0.0000","74.9180"
"Precinct","43","17-43","458","38.0083",\N,\N,\N,\N,"1.9272",\N,\N,\N,"1",\N,\N,\N,"0","0.5542","0.5967","0.8611",\N,\N,\N,\N,\N,\N,"0.0000","21.6157","0.0000","0.0000","0.0000","0.0000","78.1659"
"Precinct","47","17-47","229","32.5747",\N,\N,\N,\N,"3.7815",\N,\N,\N,"0",\N,\N,\N,"0","0.2792","0.3367","0.3889",\N,\N,\N,\N,\N,\N,"0.0000","36.6812","0.0000","0.0000","0.0000","0.0000","63.3188"
"Precinct","48","17-48","302","30.9110",\N,\N,\N,\N,"2.8939",\N,\N,\N,"0",\N,\N,\N,"0","0.3167","0.4200","0.6056",\N,\N,\N,\N,\N,\N,"0.0000","19.2053","0.0000","0.0000","0.0000","0.0000","80.7947"
