shape,common_id,common_name,Total Turnout (#),Total Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Free Georgia,United National Movement,Movement for Fair Georgia,Christian-Democratic Movement,New Rights,Labour,Georgian Dream
Precinct,10,80-10,410,66.0225,\N,\N,\N,\N,2.148,0.4878,48.2927,1.2195,4.1463,1.7073,0.4878,43.6585
Precinct,11,80-11,284,80,\N,\N,\N,\N,4.0541,0.3521,34.8592,0,2.8169,4.9296,0.7042,56.338
Precinct,12,80-12,296,72.0195,\N,\N,\N,\N,6.6246,0.3378,44.5946,1.3514,5.7432,0.3378,1.6892,45.9459
Precinct,13,80-13,324,69.0832,\N,\N,\N,\N,2.4096,0.3086,35.4938,2.1605,6.7901,0,0.9259,54.321
Precinct,14,80-14,478,70.8148,\N,\N,\N,\N,2.6477,0,40.3766,0.8368,3.5565,1.6736,2.0921,51.4644
Precinct,15,80-15,356,62.8975,\N,\N,\N,\N,5.0667,3.6517,41.8539,1.1236,5.3371,2.2472,0.2809,45.5056
Precinct,16,80-16,507,67.0635,\N,\N,\N,\N,4.5198,0.3945,28.5996,0.1972,5.9172,1.1834,0.789,62.9191
Precinct,17,80-17,386,71.4815,\N,\N,\N,\N,3.0151,0.5181,36.2694,0,4.9223,1.5544,1.0363,55.6995
Precinct,18,80-18,640,71.1111,\N,\N,\N,\N,2.7356,0.1563,61.5625,0.1563,3.9063,0.3125,0.625,33.2813
Precinct,19,80-19,139,78.0899,\N,\N,\N,\N,0.7143,0,70.5036,0.7194,1.4388,0.7194,0.7194,25.8993
