shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Free Georgia,National Democratic Party of Georgia,United National Movement,Movement for Fair Georgia,Christian-Democratic Movement,Public Movement,Freedom Party,Georgian Group,New Rights,People's Party,Merab Kostava Society,Future Georgia,Labour Council of Georgia,Labour,Sportsman's Union,Georgian Dream
Tbilisi Precinct,56,6-56,648,46.6187,\N,\N,\N,\N,11.2329,\N,\N,\N,0,\N,\N,\N,0,1.2667,1.15,0.45,\N,\N,\N,\N,\N,\N,0,0,38.7346,0,5.0926,0,0,0,0,0,0,0,0,2.0062,0,54.1667
Tbilisi Precinct,57,6-57,781,48.6301,\N,\N,\N,\N,3.5802,\N,\N,\N,0,\N,\N,\N,0,1.4083,1.1833,0.65,\N,\N,\N,\N,\N,\N,0.3841,0,27.9129,0,4.7375,0,0,0,0,0,0,0,0,1.1524,0,65.8131
Tbilisi Precinct,58,6-58,704,55.3024,\N,\N,\N,\N,2.8966,\N,\N,\N,0,\N,\N,\N,0,1.2958,1.11,0.45,\N,\N,\N,\N,\N,\N,0.2841,0,27.5568,0,5.1136,0,0,0,0,0,0,0,0,1.4205,0,65.625
Tbilisi Precinct,59,6-59,841,54.8956,\N,\N,\N,\N,2.4362,\N,\N,\N,5,\N,\N,\N,0,1.4125,1.2867,0.7611,\N,\N,\N,\N,\N,\N,0.2378,0,27.3484,0,4.8751,0,0,0,0,0,0,0,0,2.2592,0,64.6849
Tbilisi Precinct,60,6-60,1479,94.8077,\N,\N,\N,\N,2.3762,\N,\N,\N,0,\N,\N,\N,0,1.5,1.4333,4.0278,\N,\N,\N,\N,\N,\N,0,0,48.6139,0,2.7045,0,0,0,0,0,0,0,0,1.0818,0,47.5997
Tbilisi Precinct,61,6-61,833,55.2387,\N,\N,\N,\N,2.23,\N,\N,\N,0,\N,\N,\N,0,1.5458,1.2833,0.5333,\N,\N,\N,\N,\N,\N,0.6002,0,29.4118,0,3.6014,0,0,0,0,0,0,0,0,1.6807,0,64.7059
Tbilisi Precinct,62,6-62,685,46.9822,\N,\N,\N,\N,2.4217,\N,\N,\N,5,\N,\N,\N,0,1.1542,1.04,0.6278,\N,\N,\N,\N,\N,\N,0.292,0,30.9489,0,2.7737,0,0,0,0,0,0,0,0,2.1898,0,63.0657
Tbilisi Precinct,63,6-63,497,46.8426,\N,\N,\N,\N,4.7893,\N,\N,\N,0,\N,\N,\N,0,1.0667,0.73,0.2611,\N,\N,\N,\N,\N,\N,0,0,30.1811,0,4.0241,0,0,0,0,0,0,0,0,1.2072,0,64.5875
Tbilisi Precinct,64,6-64,597,52.0035,\N,\N,\N,\N,2.451,\N,\N,\N,5,\N,\N,\N,0,1.0875,0.9633,0.3444,\N,\N,\N,\N,\N,\N,0.335,0,33.3333,0,2.6801,0,0,0,0,0,0,0,0,1.005,0,61.809
Tbilisi Precinct,65,6-65,561,53.4286,\N,\N,\N,\N,2.4348,\N,\N,\N,0,\N,\N,\N,0,1.1208,0.8667,0.2556,\N,\N,\N,\N,\N,\N,0.1783,0,26.9162,0,5.8824,0,0,0,0,0,0,0,0,0.5348,0,66.4884
Tbilisi Precinct,66,6-66,668,57.6359,\N,\N,\N,\N,3.1884,\N,\N,\N,1,\N,\N,\N,0,1.4167,0.98,0.3111,\N,\N,\N,\N,\N,\N,0.1497,0,24.8503,0,5.6886,0,0,0,0,0,0,0,0,1.6467,0,67.515
