region,district_id,district name,precinct_id,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,2 - European Georgia,3 - Democratic Movement - Free Georgia,5 - United National Movement,8 - Alliance of Patriots,10 - Labour,11 - National Democratic Party of Georgia,14 - Georgian Unity and Development Party,17 - Georgia,18 - Union of Georgian Traditionalists,20 - National Forum,23 - New Christian Democrats,27 - Unity - New Georgia,28 - Lord Our Righteousness,38 - Party of People,39 - Progressive Democratic Movement,41 - Georgian Dream,42 - Initiative Group
,3,,42,,1348,9,203,469,601,1250,10,591,,,,,,,40,14,77,14,5,0,,2,1,0,,10,,,0,298,130
,3,,43,,1531,9,179,533,691,1450,11,678,,,,,,,37,8,85,24,3,0,,0,0,3,,9,,,0,376,133
,3,,44,,1545,28,190,601,780,1450,21,758,,,,,,,25,9,97,13,1,0,,2,0,1,,23,,,1,411,175
,3,,45,,1056,13,174,510,639,1000,6,633,,,,,,,18,14,68,11,2,1,,0,1,0,,18,,,1,286,213
,3,,46,,1068,10,148,400,499,1000,10,489,,,,,,,37,7,58,14,5,0,,0,0,0,,14,,,1,243,110
,3,,47,,1365,9,200,561,693,1300,19,674,,,,,,,38,10,98,9,2,0,,2,1,1,,16,,,0,316,181
,3,,48,,1332,9,196,499,642,1200,12,630,,,,,,,39,4,75,18,21,0,,1,0,2,,10,,,0,337,123
,3,,49,,1511,7,305,517,677,1400,16,661,,,,,,,30,7,63,9,5,0,,3,0,0,,11,,,0,434,99
,3,,50,,1218,5,232,523,637,1150,11,626,,,,,,,25,10,94,21,2,0,,0,0,4,,17,,,1,343,109
,3,,51,,1093,8,196,447,540,1000,10,530,,,,,,,37,8,79,17,3,0,,0,0,8,,10,,,1,279,88
,3,,52,,1322,8,223,541,658,1250,20,636,,,,,,,30,12,98,17,3,1,,0,0,1,,18,,,0,347,109
,3,,53,,1457,4,203,474,647,1350,25,622,,,,,,,31,9,111,20,13,0,,1,1,4,,7,,,0,316,109
,3,,54,,1361,12,228,619,781,1300,17,764,,,,,,,39,9,90,24,2,0,,1,0,4,,20,,,1,416,158
,3,,55,,1633,13,160,428,568,1500,15,553,,,,,,,28,9,78,19,4,0,,0,0,1,,15,,,1,322,76
,3,,56,,1382,9,170,399,506,1300,15,491,,,,,,,22,8,52,32,9,0,,1,0,1,,3,,,0,312,51
,3,,57,,1265,8,185,401,516,1200,15,500,,,,,,,33,14,64,33,3,1,,1,0,0,,4,,,0,296,51
,3,,58,,1502,9,170,387,552,1450,19,534,,,,,,,35,9,71,38,7,1,,0,0,2,,9,,,0,313,49
,3,,59,,1496,7,221,490,636,1450,17,619,,,,,,,30,9,107,32,8,0,,1,0,0,,10,,,0,356,66
,3,,60,,1532,9,257,480,580,1400,25,555,,,,,,,57,3,124,14,5,0,,0,1,0,,5,,,0,299,47
,3,,61,,1271,11,175,564,640,1200,15,622,,,,,,,33,10,80,5,4,0,,0,0,1,,22,,,0,341,126
,3,,62,,1217,9,132,438,588,1150,20,566,,,,,,,31,7,88,16,3,0,,6,0,2,,10,,,0,300,103
,3,,63,,1410,10,223,565,696,1300,13,683,,,,,,,39,4,79,13,7,0,,0,0,0,,17,,,0,364,160
,3,,64,,1560,8,261,684,854,1450,12,841,,,,,,,55,6,93,13,0,0,,0,1,8,,16,,,0,467,182
,3,,65,,1499,9,207,623,751,1400,18,733,,,,,,,42,10,101,17,1,0,,0,0,0,,34,,,0,338,190
,3,,66,,1297,12,145,416,543,1200,8,535,,,,,,,39,8,64,9,4,0,,0,0,2,,8,,,0,258,143
,3,,67,,1119,8,125,385,488,1050,86,402,,,,,,,35,8,43,6,0,0,,0,0,0,,5,,,0,213,92
,3,,68,,1390,7,145,349,456,1250,8,447,,,,,,,44,1,91,16,9,0,,0,0,0,,10,,,0,210,66
,3,,69,,1592,12,273,678,842,1500,18,824,,,,,,,44,15,103,16,4,0,,1,0,0,,11,,,0,438,192
,3,,70,,1195,9,171,419,497,1100,10,487,,,,,,,55,2,65,9,4,0,,1,0,2,,4,,,0,263,82
,3,,71,,1090,10,179,525,626,1000,20,601,,,,,,,39,8,65,16,2,1,,0,0,0,,16,,,1,339,114
,3,,72,,1333,10,185,537,720,1250,30,687,,,,,,,31,6,101,16,4,0,,0,0,1,,11,,,0,399,118
,3,,73,,1390,8,218,581,711,1300,8,702,,,,,,,37,16,84,11,7,0,,0,0,1,,16,,,0,393,137
,3,,74,,1569,8,215,555,699,1450,14,685,,,,,,,37,6,119,13,14,1,,0,1,11,,14,,,0,338,131
,3,,75,,1351,9,236,489,620,1250,18,602,,,,,,,29,9,75,13,6,0,,3,0,2,,6,,,2,339,118
,3,,76,,1418,8,243,499,647,1300,13,631,,,,,,,17,11,72,25,5,0,,2,0,0,,10,,,3,339,147
,3,,77,,1388,2,170,435,547,1300,9,537,,,,,,,36,12,61,7,3,0,,1,0,2,,8,,,0,298,109
,3,,78,,1339,11,240,587,692,1250,23,669,,,,,,,33,7,84,14,1,1,,1,0,2,,12,,,0,373,141
,3,,79,,1574,11,225,630,812,1500,16,778,,,,,,,51,11,92,17,4,0,,0,0,1,,9,,,0,374,219
,3,,80,,1040,5,152,363,456,1000,12,439,,,,,,,33,5,53,17,4,0,,2,0,0,,4,,,0,275,46
,3,,81,,1276,5,146,346,445,1200,20,418,,,,,,,12,5,75,14,4,0,,1,1,1,,9,,,0,245,51
,3,,82,,1089,9,171,411,513,1000,17,496,,,,,,,28,3,89,15,1,0,,0,0,1,,7,,,0,254,98
,3,,83,,1536,9,223,693,869,1400,19,850,,,,,,,61,17,103,18,5,0,,0,0,5,,22,,,1,387,231
,3,,84,,1523,12,201,501,636,1400,16,620,,,,,,,25,6,86,9,1,0,,0,0,2,,9,,,0,352,130
,3,,85,,1561,11,167,580,724,1450,26,698,,,,,,,39,3,98,17,5,1,,0,0,4,,15,,,0,341,175
,3,,86,,1343,9,210,364,595,1250,16,580,,,,,,,36,13,72,26,4,1,,1,1,1,,11,,,0,332,82
,3,,87,,1495,6,255,501,621,1400,9,612,,,,,,,57,8,112,11,5,0,,0,0,3,,13,,,0,323,80
,3,,88,,1387,9,178,499,615,1300,20,595,,,,,,,44,3,81,5,2,0,,0,0,1,,22,,,1,301,135
,3,,89,,1347,6,174,351,436,1250,11,422,,,,,,,22,9,74,18,6,2,,2,0,4,,10,,,0,214,61
