shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Democratic Movement - Free Georgia,United National Movement,Alliance of Patriots,Georgian Dream,Initiative Group
Precinct,5,29-5,287,49.83,,,,,0.35,,,,0,,,,0,0.37,0.49,0.29,,,,,,,31.36,,,68.64,
Precinct,6,29-6,465,49.95,,,,,0.64,,,,0,,,,0,0.6,0.74,0.57,,,,,,,22.15,,,77.85,
Precinct,7,29-7,287,44.29,,,,,0.35,,,,0,,,,0,0.43,0.54,0.14,,,,,,,21.6,,,78.4,
Precinct,8,29-8,109,48.88,,,,,0.0,,,,0,,,,0,0.14,0.21,0.06,,,,,,,9.17,,,90.83,
Precinct,9,29-9,92,71.32,,,,,2.13,,,,0,,,,0,0.23,0.11,0.04,,,,,,,15.22,,,84.78,
Precinct,10,29-10,116,61.05,,,,,0.0,,,,0,,,,0,0.18,0.17,0.12,,,,,,,14.66,,,85.34,
Precinct,1,35-1,299,28.05,,,,,1.64,,,,0,,,,0,0.42,0.47,0.34,,,,,,,,,,56.19,43.48
Precinct,2,35-2,413,32.39,,,,,3.5,,,,0,,,,0,0.64,0.57,0.57,,,,,,,,,,75.54,24.46
Precinct,3,35-3,453,35.61,,,,,1.52,,,,0,,,,0,0.74,0.64,0.51,,,,,,,,,,72.19,28.04
Precinct,4,35-4,386,27.75,,,,,5.85,,,,0,,,,0,0.63,0.59,0.45,,,,,,,,,,66.32,33.68
Precinct,5,35-5,346,31.71,,,,,2.54,,,,0,,,,0,0.55,0.48,0.44,,,,,,,,,,58.38,41.62
Precinct,6,35-6,442,33.06,,,,,2.64,,,,0,,,,0,0.52,0.72,0.63,,,,,,,,,,59.73,40.27
Precinct,7,35-7,400,38.1,,,,,4.76,,,,0,,,,0,0.61,0.69,0.37,,,,,,,,,,73.0,27.0
Precinct,8,35-8,238,29.42,,,,,2.46,,,,0,,,,0,0.25,0.4,0.36,,,,,,,,,,61.76,38.24
Precinct,9,35-9,356,33.36,,,,,2.2,,,,0,,,,0,0.57,0.53,0.37,,,,,,,,,,71.07,28.93
Precinct,10,35-10,324,30.83,,,,,2.11,,,,0,,,,0,0.47,0.5,0.38,,,,,,,,,,56.79,43.21
Precinct,11,35-11,437,34.19,,,,,3.53,,,,0,,,,0,0.53,0.69,0.66,,,,,,,,,,65.68,34.32
Precinct,12,35-12,240,23.81,,,,,1.64,,,,0,,,,0,0.34,0.37,0.29,,,,,,,,,,50.0,50.0
Precinct,13,35-13,383,27.92,,,,,1.29,,,,0,,,,0,0.43,0.41,0.89,,,,,,,,,,67.62,32.38
Precinct,14,35-14,328,33.95,,,,,0.91,,,,0,,,,0,0.49,0.43,0.47,,,,,,,,,,49.7,50.3
Precinct,15,35-15,313,44.97,,,,,1.26,,,,0,,,,0,0.46,0.49,0.33,,,,,,,,,,66.77,33.23
Precinct,16,35-16,326,26.63,,,,,3.26,,,,0,,,,0,0.43,0.52,0.44,,,,,,,,,,59.82,40.18
Precinct,17,35-17,361,30.52,,,,,1.63,,,,0,,,,0,0.53,0.58,0.37,,,,,,,,,,54.02,45.98
Precinct,18,35-18,390,30.59,,,,,1.02,,,,0,,,,0,0.5,0.75,0.27,,,,,,,,,,61.03,38.97
Precinct,19,35-19,263,21.5,,,,,2.59,,,,0,,,,0,0.47,0.36,0.27,,,,,,,,,,54.75,45.25
Precinct,20,35-20,374,34.99,,,,,0.8,,,,0,,,,0,0.49,0.66,0.34,,,,,,,,,,60.16,39.84
Precinct,21,35-21,350,37.92,,,,,1.41,,,,0,,,,0,0.43,0.64,0.33,,,,,,,,,,64.29,35.71
Precinct,22,35-22,215,45.84,,,,,1.83,,,,0,,,,0,0.38,0.33,0.17,,,,,,,,,,60.93,39.07
Precinct,23,35-23,388,39.88,,,,,1.27,,,,0,,,,0,0.54,0.53,0.58,,,,,,,,,,47.16,52.84
Precinct,24,35-24,128,45.71,,,,,1.54,,,,0,,,,0,0.27,0.13,0.15,,,,,,,,,,62.5,37.5
Precinct,25,35-25,215,29.99,,,,,0.92,,,,0,,,,0,0.23,0.34,0.33,,,,,,,,,,61.4,38.6
Precinct,26,35-26,507,44.43,,,,,0.39,,,,0,,,,0,0.5,0.75,0.91,,,,,,,,,,61.14,38.86
Precinct,27,35-27,164,37.1,,,,,2.38,,,,0,,,,0,0.25,0.26,0.17,,,,,,,,,,60.98,39.02
