shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Non-Parliamentary Opposition,Armed Veterans Patriots,United Opposition,National Democratic Party of Georgia,United National Movement,Greens Party,Name of the Lord,Alliance of Patriots,Self-governance to People,People's Party,Reformers,Our Georgia,Future Georgia,Georgian Party,Christian Democrats,Unity Hall,Way of Georgia,Freedom Party,Labour,Party of People,Merab Kostava Society,Labour Council of Georgia,Georgian Dream
Majoritarian District,13,84-13,599,60.44,2,1,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,0.0,,4.01,,41.74,,,,,,,,,,,5.01,,,,,,,19.87
Majoritarian District,1,81-1,5478,38.49,0,2,9,3,,0,0.0,,,0,0.0,,,,,,0,0,0,0,14,100.0,0.64,1.35,4.49,,19.24,,,20.59,0.89,,,,,,,0.38,2.79,,1.41,,,,37.19
Majoritarian District,2,81-2,2531,57.28,0,4,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,4,100.0,0.55,,4.94,,52.0,,,3.0,0.47,,,,,,,1.26,0.24,,1.15,,,,18.81
Majoritarian District,3,81-3,2993,44.47,0,6,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,7,100.0,0.2,0.37,5.95,,30.94,,,12.83,0.47,,,,,,,1.47,0.5,,1.17,,,,45.94
Majoritarian District,4,81-4,1068,53.21,0,1,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,0.47,,9.55,,33.52,,,9.83,5.34,,,,,,,,9.93,,2.34,,,,28.56
Majoritarian District,5,81-5,626,55.25,0,0,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,,0.64,9.11,,27.16,,,27.96,3.19,,,,,,,0.16,0.64,,1.28,,,,29.87
Majoritarian District,6,81-6,1094,39.18,0,1,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,1.01,0.91,8.5,,30.07,,,9.96,0.55,,,,,,,1.01,0.64,,1.65,,,,45.7
Majoritarian District,7,81-7,890,65.39,0,1,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,1.35,,2.7,,5.62,,,45.06,1.24,,,,,,,,0.34,,0.22,,,,43.48
Majoritarian District,8,81-8,1003,42.99,0,0,1,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,0.2,,11.47,,28.61,,,3.99,0.2,,,,,,,2.19,0.2,,0.3,,,,25.22
Majoritarian District,9,81-9,456,63.07,0,0,0,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,0.0,,2.19,,28.95,,,8.11,0.66,,,,,,,,21.05,,0.88,,,,32.89
Majoritarian District,10,81-10,1637,40.06,0,2,1,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,4,100.0,0.31,0.24,11.55,,14.42,,,8.43,1.04,,,,,,,3.05,1.95,,1.47,,,,29.99
Majoritarian District,11,81-11,1555,50.97,0,2,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,,,11.83,,25.14,,,12.6,1.48,,,,,,,6.82,0.13,,2.51,,,,39.1
Majoritarian District,12,81-12,1759,57.94,0,1,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,2.1,,17.17,,19.67,,,21.83,0.28,,,,,,,0.17,2.05,,0.8,,,,30.36
Majoritarian District,13,81-13,1189,43.1,1,2,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,0.93,,7.65,,25.06,,,6.06,,,,,,,,,0.93,,2.1,,,,57.28
Majoritarian District,14,81-14,860,58.38,0,0,1,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,0.35,,5.0,,13.14,,,2.79,0.35,,,,,,,,0.12,,2.67,,,,42.33
Majoritarian District,15,81-15,1573,52.09,0,3,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,4,100.0,0.45,,14.49,,23.97,,,11.0,1.08,,,,,,,0.7,1.21,,0.64,,,,45.84
Majoritarian District,16,81-16,1176,45.09,1,0,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,0.6,,10.46,,27.81,,,,0.43,,3.66,,,,,,13.52,,0.85,,,,42.69
Majoritarian District,17,81-17,2027,50.5,0,1,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,0.3,,2.81,,23.14,,,4.14,1.38,,,,,,,0.54,0.25,,1.38,,,,37.79
Majoritarian District,18,81-18,519,66.71,0,1,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,0.96,,0.58,,2.12,,,61.27,0.0,,,,,,,0.0,0.0,,1.54,,,,33.53
Majoritarian District,19,81-19,1276,47.59,0,2,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,0.16,,7.84,,37.7,,,3.45,1.02,,,,,,,2.59,0.24,,0.94,,,,45.92
Majoritarian District,20,81-20,2395,51.21,0,1,3,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,4,100.0,0.46,0.58,9.31,,5.43,,,22.09,0.33,,,,,,,0.63,0.88,,0.88,,,,22.09
Majoritarian District,1,82-1,1162,57.96,0,2,3,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,5,100.0,,,8.52,,36.83,,,2.24,,,,,,,,12.74,,,1.46,,,,38.21
Majoritarian District,2,82-2,555,49.29,0,2,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,4,100.0,1.08,,3.96,,29.55,,,1.08,,,,,,,,,,,0.72,,,,63.6
