region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1 - Non-Parliamentary Opposition,2 - Armed Veterans Patriots,3 - United Opposition,5 - United National Movement,6 - Greens Party,7 - Name of the Lord,8 - Alliance of Patriots,9 - Self-governance to People,10 - Peoples Party,11 - Reformers,12 - Our Georgia,13 - Future Georgia,14 - Georgian Party,17 - Unity Hall,18 - Way of Georgia,20 - Labour Party,26 - Party of People,30 - Merab Kostava Society,36 - Labour Council,41 - Georgian Dream
,3,,27,,1423,9,172,460,567,1300,27,,,,,,,,14,,86,129,5,0,37,0,,6,,0,,,5,6,,0,0,251
,3,,28,,1307,8,166,430,580,1250,23,,,,,,,,19,,68,131,9,2,42,0,,0,,0,,,4,4,,1,0,277
,3,,29,,1340,6,170,401,514,1250,18,,,,,,,,15,,69,104,5,2,26,0,,1,,1,,,2,9,,1,0,261
,3,,30,,1239,11,160,430,545,1150,23,,,,,,,,17,,83,130,12,2,22,0,,1,,1,,,2,17,,0,0,234
,3,,31,,1428,8,194,494,596,1350,25,,,,,,,,18,,101,133,9,2,40,0,,1,,0,,,5,9,,2,1,250
,3,,32,,1394,3,200,493,642,1300,13,,,,,,,,14,,78,166,10,4,54,0,,4,,1,,,5,9,,0,3,280
,3,,33,,1414,10,175,363,468,1350,10,,,,,,,,10,,64,124,2,2,20,1,,0,,0,,,3,8,,0,0,223
,3,,34,,1231,100,205,460,577,1250,35,,,,,,,,11,,79,116,7,2,31,5,,2,,0,,,1,17,,4,1,265
,3,,35,,1592,8,169,388,525,1450,20,,,,,,,,5,,89,94,4,3,24,0,,24,,0,,,16,8,,0,2,235
,3,,36,,1405,8,212,514,642,1300,0,,,,,,,,22,,94,123,14,2,50,0,,1,,1,,,7,20,,0,0,286
,3,,37,,1407,7,225,531,649,1300,23,,,,,,,,22,,95,163,9,1,37,2,,6,,0,,,9,9,,0,0,272
,3,,38,,1339,10,175,445,559,1250,23,,,,,,,,27,,64,140,4,0,40,2,,0,,1,,,10,10,,1,1,235
,3,,39,,1177,7,188,454,590,1100,18,,,,,,,,11,,85,120,8,3,64,2,,6,,0,,,10,15,,2,0,243
,3,,40,,1400,9,214,468,602,1300,18,,,,,,,,13,,70,132,19,5,34,5,,8,,3,,,2,17,,1,0,273
,3,,41,,1175,10,139,330,425,1100,7,,,,,,,,12,,49,82,3,2,38,10,,3,,0,,,3,11,,1,0,204
